,file type,hash(SHA256),Vt_link,File_Exten
78,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 467909127 sectors; partition 2 : ID=0xf, start-CHS (0x3ff,0,1), end-CHS (0x3ff,254,63), startsector 467909190, 20482875 sectors",eb9fb6e251e7c10772c8eafb037cf79731fdd798d6f33fca57bc65dcba65c9c2,https://www.virustotal.com/gui/file/eb9fb6e251e7c10772c8eafb037cf79731fdd798d6f33fca57bc65dcba65c9c2,unknown
79,"DOS/MBR boot sector, code offset 0x3c+2, OEM-ID ""MSDOS5.0"", root entries 224, sectors 2880 (volumes <=32 MB) , sectors/FAT 9, sectors/track 18, serial number 0xc6b10fe, label: ""NO N\315\02"", FAT (12 bit)",fc9e27636cec22438c4dea7d738047bdeec5fb8176b46b53adebf0ac5d7364ba,https://www.virustotal.com/gui/file/fc9e27636cec22438c4dea7d738047bdeec5fb8176b46b53adebf0ac5d7364ba,unknown
80,"HTML document, ASCII text, with CRLF, LF line terminators",3871891a08b1843092f957c66eec864f7a9ce14d9bbbbf31714b342790e0b655,https://www.virustotal.com/gui/file/3871891a08b1843092f957c66eec864f7a9ce14d9bbbbf31714b342790e0b655,Text
81,"DOS/MBR boot sector, code offset 0x56+2, OEM-ID ""NWDOS7.0"", root entries 224, sectors 2400 (volumes <=32 MB) , Media descriptor 0xf9, sectors/FAT 7, sectors/track 15, reserved 0xb6, serial number 0x12f53729, unlabeled, FAT (12 bit)",7754c9a01066c2b93208c6912f250dc2443d5812304ac87bd4752adb0035fe9d,https://www.virustotal.com/gui/file/7754c9a01066c2b93208c6912f250dc2443d5812304ac87bd4752adb0035fe9d,unknown
82,"DOS/MBR boot sector, code offset 0x3c+2, OEM-ID "".\200&\2"", sectors/cluster 2, root entries 112, sectors 1440 (volumes <=32 MB) , Media descriptor 0xf9, sectors/FAT 3, sectors/track 9, serial number 0x1a0717f1, unlabeled, FAT (12 bit)",f4cec6765eea4595805a73037ac54fe892e75ca57851103574e9685eabc2ff78,https://www.virustotal.com/gui/file/f4cec6765eea4595805a73037ac54fe892e75ca57851103574e9685eabc2ff78,unknown
83,"DOS/MBR boot sector, code offset 0x3c+2, OEM-ID ""MSDOS5.0"", sectors/cluster 2, root entries 112, sectors 720 (volumes <=32 MB) , Media descriptor 0xfd, sectors/FAT 2, sectors/track 9, serial number 0x9a1076b, unlabeled, FAT (12 bit)",c321f16cec3104b639dac3038b7e0a9d95a352578b84730a7cea33fe8c4281d3,https://www.virustotal.com/gui/file/c321f16cec3104b639dac3038b7e0a9d95a352578b84730a7cea33fe8c4281d3,unknown
84,"DOS/MBR boot sector, code offset 0x1f+2, OEM-ID ""PCBackup"", root entries 224, sectors 2400 (volumes <=32 MB) , Media descriptor 0xf9, sectors/FAT 7, sectors/track 15, FAT (12 bit by descriptor), followed by FAT",118fbebcaf0691208de7ef491dc682f603855db5a1af81f7d60eeebff5463d36,https://www.virustotal.com/gui/file/118fbebcaf0691208de7ef491dc682f603855db5a1af81f7d60eeebff5463d36,DOS EXE
85,"C source, ASCII text, with CRLF line terminators",01c2716753d5c02ebe1660869657b7b12f4a954f55ac5b62adf5b8b3b32db328,https://www.virustotal.com/gui/file/01c2716753d5c02ebe1660869657b7b12f4a954f55ac5b62adf5b8b3b32db328,Text
86,"HTML document, ISO-8859 text, with very long lines, with CRLF line terminators",072854b63a61fd00bb34c38a7ebc8a2edec7655f0cda0187bd9b417397b2b40a,https://www.virustotal.com/gui/file/072854b63a61fd00bb34c38a7ebc8a2edec7655f0cda0187bd9b417397b2b40a,unknown
87,"8086 relocatable (Microsoft), ""know.ASM""",c5b21b4a3727d003224017c54f5b4da9827f821c281227158f841db9c91a4d4b,https://www.virustotal.com/gui/file/c5b21b4a3727d003224017c54f5b4da9827f821c281227158f841db9c91a4d4b,unknown
